Date and Time (UTC)	Transmitter	Latitude	Longitude
11/22/2015 11:49	A69-9001-21051	32.36	-80.32
11/22/2015 15:12	A69-9001-21043	32.15	-80.59
11/24/2015 13:43	A69-9001-21048	32.36	-80.32
11/26/2015 22:59	A69-9001-21043	31.08	-81.15
11/28/2015 8:48	A69-9001-21051	30.93	-81.21
12/1/2015 9:50	A69-9001-21048	31.12	-81.26
12/22/2015 16:42	A69-9001-21046	32.05	-80.42
12/28/2015 10:11	A69-9001-21047	28.31	-80.46
12/29/2015 6:36	A69-9001-21046	32.05	-80.41
1/15/2016 11:04	A69-9001-21046	32.05	-80.42
1/27/2016 22:30	A69-9001-21051	28.68	-80.43
3/13/2016 14:29	A69-9001-21046	31.38	-80.83
10/30/2016 15:51	A69-9001-21043	32.43	-80.38
11/9/2016 10:44	A69-9001-21055	32.65	-80.26
11/10/2016 2:16	A69-9001-21054	32.65	-80.26
11/10/2016 9:17	A69-9001-21053	32.65	-80.26
11/10/2016 11:43	A69-9001-21057	32.65	-80.26
11/10/2016 12:15	A69-9001-21052	32.65	-80.26
11/10/2016 17:08	A69-9001-21058	32.26	-80.66
11/13/2016 10:30	A69-9001-21054	32.36	-80.32
11/14/2016 11:51	A69-9001-21053	32.09	-80.58
11/14/2016 23:57	A69-9001-21051	32.43	-80.38
11/15/2016 11:13	A69-9001-21057	32.36	-80.32
11/16/2016 2:27	A69-9001-21052	32.10	-80.59
11/16/2016 3:14	A69-9001-21048	32.55	-79.93
11/17/2016 16:03	A69-9001-21043	31.12	-81.26
11/18/2016 14:45	A69-9001-21048	32.40	-80.36
11/22/2016 1:45	A69-9001-21057	32.10	-80.59
11/22/2016 2:49	A69-9001-21053	32.09	-80.58
11/22/2016 22:19	A69-9001-21056	31.08	-81.15
11/23/2016 1:01	A69-9001-21046	32.54	-79.91
11/23/2016 2:13	A69-9001-21051	30.93	-81.24
11/23/2016 9:10	A69-9001-21052	30.93	-81.24
11/26/2016 19:37	A69-9001-21058	31.09	-81.19
11/28/2016 10:59	A69-9001-21054	30.71	-81.45
11/28/2016 12:58	A69-9001-21048	31.11	-81.36
12/25/2016 23:12	A69-9001-21046	31.37	-80.83
12/27/2016 14:17	A69-9001-21057	31.37	-80.83
1/5/2017 22:26	A69-9001-21053	31.09	-81.19
1/13/2017 3:14	A69-9001-21057	28.70	-80.54
2/26/2017 2:37	A69-9001-21055	31.08	-81.30
10/29/2017 9:32	A69-9001-14032	32.60	-80.24
